Date,ERN_Settlement_Price,H_Settlement_Price,XPR_Settlement_Price,Gas_Contracts,Hedge_Value,Unhedged_Position,Hedged_Position,Hedging_Efficiency
2016-02-01,24.62,2.713,9.074824917065978,0.0008592202970297029,23.31064665841584,24.62,1.3093533415841598,0.9468174922183525
2016-02-08,24.16,2.656,9.096385542168674,0.0008592202970297029,22.82089108910891,24.16,1.3391089108910919,0.9445733066684151
2016-02-15,24.55,2.684,9.146795827123695,0.0008592202970297029,23.061472772277227,24.55,1.4885272277227735,0.9393675263656711
2016-02-22,23.52,2.568,9.158878504672897,0.0008592202970297029,22.06477722772277,23.52,1.455222772277228,0.9381282834916145
2016-02-29,22.54,2.436,9.25287356321839,0.0008592202970297029,20.93060643564356,22.54,1.6093935643564379,0.928598333435828
2016-03-07,23.63,2.521,9.373264577548591,0.0008592202970297029,21.660943688118806,23.63,1.969056311881193,0.9166713367803134
2016-03-14,23.8,2.539,9.373769200472626,0.0008592202970297029,21.815603341584158,23.8,1.984396658415843,0.9166219891421915
2016-03-21,25.13,2.681,9.373368146214098,0.0008592202970297029,23.03569616336633,25.13,2.0943038366336673,0.9166612082517442
2016-03-28,25.41,2.717,9.352226720647772,0.0008592202970297029,23.345015470297028,25.41,2.064984529702972,0.9187333911962624
2016-04-04,26.11,2.81,9.291814946619217,0.0008592202970297029,24.14409034653465,26.11,1.9659096534653493,0.924706639085969
2016-04-11,25.29,2.735,9.246800731261427,0.0008592202970297029,23.49967512376237,25.29,1.79032487623763,0.9292081899471083
2016-04-18,25.86,2.803,9.225829468426685,0.0008592202970297029,24.083944925742568,25.86,1.7760550742574317,0.9313203760921334
2016-04-25,26.29,2.897,9.074905074214705,0.0008592202970297029,24.891612004950492,26.29,1.3983879950495073,0.9468091291346707
2016-05-02,26.95,2.999,8.986328776258752,0.0008592202970297029,25.76801670792079,26.95,1.1819832920792095,0.9561416218152426
2016-05-09,26.35,2.974,8.860121049092132,0.0008592202970297029,25.553211633663366,26.35,0.7967883663366351,0.9697613523211903
2016-05-16,26.71,2.965,9.008431703204048,0.0008592202970297029,25.47588180693069,26.71,1.2341181930693104,0.9537956498289288
2016-05-23,25.69,2.853,9.004556607080266,0.0008592202970297029,24.513555074257425,25.69,1.176444925742576,0.9542061142178834
2016-05-30,25.91,2.883,8.987166146375303,0.0008592202970297029,24.771321163366334,25.91,1.138678836633666,0.9560525342866204
2016-06-06,27.06,2.997,9.02902902902903,0.0008592202970297029,25.750832301980193,27.06,1.309167698019806,0.9516198189940944
2016-06-13,27.84,3.108,8.957528957528957,0.0008592202970297029,26.704566831683167,27.84,1.1354331683168333,0.9592157626322977
2016-06-20,27.92,3.139,8.894552405224594,0.0008592202970297029,26.970925123762374,27.92,0.9490748762376278,0.9660073468396265
2016-06-27,28.62,3.225,8.874418604651163,0.0008592202970297029,27.709854579207917,28.62,0.9101454207920838,0.9681989720198433
2016-07-04,29.17,3.296,8.850121359223301,0.0008592202970297029,28.319900990099004,29.17,0.8500990099009975,0.9708570788515256
2016-07-11,28.45,3.206,8.873986275733001,0.0008592202970297029,27.54660272277227,28.45,0.9033972772277288,0.9682461413979708
2016-07-18,28.21,3.201,8.812870977819431,0.0008592202970297029,27.50364170792079,28.21,0.7063582920792122,0.9749607127940726
2016-07-25,28.06,3.18,8.823899371069182,0.0008592202970297029,27.323205445544552,28.06,0.7367945544554466,0.9737421755361566
2016-08-01,27.95,3.175,8.803149606299213,0.0008592202970297029,27.280244430693063,27.95,0.6697555693069361,0.9760373678244387
2016-08-08,28.23,3.199,8.824632697718037,0.0008592202970297029,27.48645730198019,28.23,0.7435426980198088,0.973661257597598
2016-08-15,27.57,3.098,8.899289864428663,0.0008592202970297029,26.618644801980192,27.57,0.9513551980198081,0.9654931012687774
2016-08-22,27.44,3.092,8.8745148771022,0.0008592202970297029,26.567091584158412,27.44,0.8729084158415894,0.9681884688104377
2016-08-29,27.76,3.128,8.874680306905372,0.0008592202970297029,26.876410891089105,27.76,0.8835891089108969,0.9681704211487429
2016-09-05,27.57,3.157,8.73297434273044,0.0008592202970297029,27.12558477722772,27.57,0.44441522277228174,0.9838804779553035
2016-09-12,26.71,3.059,8.731611637790127,0.0008592202970297029,26.28354888613861,26.71,0.4264511138613898,0.9840340279348039
2016-09-19,27.63,3.176,8.69962216624685,0.0008592202970297029,27.288836633663365,27.63,0.3411633663366338,0.9876524297380878
2016-09-26,28.61,3.291,8.693406259495594,0.0008592202970297029,28.276939975247522,28.61,0.3330600247524771,0.9883586150034087
2016-10-03,28.37,3.242,8.750771128932758,0.0008592202970297029,27.855922029702967,28.37,0.5140779702970342,0.9818795216673587
2016-10-10,27.93,3.183,8.774740810556079,0.0008592202970297029,27.34898205445544,27.93,0.5810179455445592,0.9791973524688665
2016-10-17,29.79,3.429,8.68766404199475,0.0008592202970297029,29.46266398514851,29.79,0.32733601485148967,0.9890118826837365
2016-10-24,30.18,3.505,8.61055634807418,0.0008592202970297029,30.115671410891085,30.18,0.06432858910891426,0.9978685026802878
2016-10-31,27.47,3.149,8.72340425531915,0.0008592202970297029,27.056847153465345,27.47,0.4131528465346541,0.9849598526925863
2016-11-07,25.65,2.902,8.838731909028256,0.0008592202970297029,24.93457301980198,25.65,0.7154269801980178,0.9721081099338005
2016-11-14,23.76,2.633,9.023927079377136,0.0008592202970297029,22.623270420792075,23.76,1.1367295792079268,0.9521578459929324
2016-11-21,24.11,2.709,8.899963086009597,0.0008592202970297029,23.27627784653465,24.11,0.8337221534653487,0.9654200682926027
2016-11-28,26.12,2.982,8.759221998658617,0.0008592202970297029,25.62194925742574,26.12,0.49805074257426085,0.9809322074052733
